linear,rf,svr,ann,lgbm,bl,asIs,data,x*,x,y,budget,rows
 95.00, 97.00, 97.00, 93.00, 97.00, 97.00, 14.00,Scrum10k,12,124,3,810,10001
 95.00, 89.00, 88.00, 86.00, 89.00, 83.00, -10.00,Scrum1k,7,124,3,60,1001
 99.00, 99.00, 99.00, 100.00, 99.00, 100.00, -3.00,FFM-125-25-0.50-SAT-1,8,128,3,810,10001
 100.00, 100.00, 100.00, 100.00, 97.00, 100.00, -4.00,FFM-250-50-0.50-SAT-1,12,256,3,810,10001
 95.00, 95.00, 95.00, 95.00, 95.00, 95.00,  9.00,FFM-500-100-0.50-SAT-1,14,510,3,810,10001
 93.00, 96.00, 96.00, 96.00, 96.00, 96.00,  9.00,FM-500-100-0.75-SAT-1,11,511,3,810,10001
 97.00, 97.00, 97.00, 97.00, 97.00, 95.00, -1.00,FM-500-100-1.00-SAT-1,11,511,3,810,10001
 95.00, 100.00, 100.00, 98.00, 95.00, 98.00,  0.00,FM-500-100-0.50-SAT-1,9,513,3,810,10001
 97.00, 96.00, 97.00, 95.00, 97.00, 97.00, 25.00,FM-500-100-0.25-SAT-1,15,517,3,810,10001
 86.00, 94.00, 94.00, 86.00, 100.00, 94.00, -13.00,FFM-1000-200-0.50-SAT-1,11,1044,3,810,10001
