RLF_linear,RLF_rf,RLF_svr,RLF_ann,RLF_lgbm,RLF_bl,SHAP_linear,SHAP_rf,SHAP_svr,SHAP_ann,SHAP_lgbm,SHAP_bl,BL_linear,BL_rf,BL_svr,BL_ann,BL_lgbm,BL_bl,_asIs,data
 89.00, 85.00, 82.00, 87.00, 88.00, 76.00, 89.00, 85.00, 85.00, 85.00, 85.00, 85.00, 89.00, 85.00, 85.00, 88.00, 85.00, 83.00, -36.00,pom3d
 100.00, 99.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 99.00, 100.00, 100.00, 100.00, 44.00,rs-6d-c3_obj1
 99.00, 100.00, 96.00, 100.00, 100.00, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 100.00, 99.00, 100.00, 96.00, 100.00, 100.00, 100.00, 98.00,rs-6d-c3_obj2
 80.00, 80.00, 79.00, 85.00, 78.00, 67.00, 88.00, 93.00, 95.00, 88.00, 88.00, 95.00, 92.00, 92.00, 97.00, 92.00, 92.00, 82.00, 14.00,Scrum10k
 83.00, 84.00, 80.00, 83.00, 83.00, 83.00, 95.00, 89.00, 88.00, 86.00, 89.00, 83.00, 86.00, 86.00, 86.00, 83.00, 86.00, 83.00, -10.00,Scrum1k
 93.00, 94.00, 94.00, 94.00, 94.00, 94.00, 93.00, 95.00, 94.00, 94.00, 94.00, 94.00, 93.00, 95.00, 94.00, 94.00, 94.00, 94.00,  1.00,sol-6d-c2-obj1
 74.00, 89.00, 89.00, 73.00, 89.00, 71.00, 71.00, 75.00, 75.00, 72.00, 75.00, 68.00, 70.00, 74.00, 71.00, 71.00, 70.00, 64.00,  7.00,SQL_AllMeasurements
 93.00, 97.00, 97.00, 88.00, 93.00, 93.00, 93.00, 97.00, 97.00, 89.00, 93.00, 93.00, 93.00, 97.00, 97.00, 91.00, 93.00, 93.00, 41.00,SS-A
 84.00, 74.00, 77.00, 84.00, 84.00, 77.00, 84.00, 74.00, 77.00, 84.00, 84.00, 77.00, 84.00, 74.00, 77.00, 84.00, 84.00, 77.00, 22.00,SS-B
 80.00, 87.00, 84.00, 81.00, 84.00, 78.00, 80.00, 87.00, 84.00, 80.00, 84.00, 78.00, 80.00, 87.00, 84.00, 82.00, 84.00, 78.00, 13.00,SS-C
 73.00, 75.00, 75.00, 53.00, 77.00, 72.00, 73.00, 75.00, 75.00, 52.00, 77.00, 72.00, 73.00, 75.00, 75.00, 53.00, 77.00, 72.00, 35.00,SS-D
 82.00, 96.00, 97.00, 91.00, 97.00, 91.00, 82.00, 96.00, 97.00, 92.00, 97.00, 91.00, 82.00, 96.00, 97.00, 92.00, 97.00, 91.00, 21.00,SS-E
 76.00, 83.00, 83.00, 78.00, 98.00, 77.00, 76.00, 83.00, 83.00, 83.00, 98.00, 77.00, 76.00, 83.00, 83.00, 83.00, 98.00, 77.00, 17.00,SS-F
 76.00, 76.00, 82.00, 63.00, 93.00, 69.00, 76.00, 76.00, 82.00, 65.00, 93.00, 69.00, 76.00, 76.00, 82.00, 63.00, 93.00, 69.00, 18.00,SS-G
 100.00, 100.00, 100.00, 68.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.00, 100.00, 100.00, 100.00, 100.00, 100.00, 68.00, 100.00, 100.00,  8.00,SS-H
 98.00, 99.00, 40.00, 98.00, 99.00, 98.00, 98.00, 99.00, 40.00, 98.00, 99.00, 98.00, 98.00, 99.00, 40.00, 98.00, 99.00, 98.00, -16.00,SS-I
 97.00, 96.00, 95.00, 95.00, 96.00, 96.00, 96.00, 94.00, 94.00, 96.00, 96.00, 96.00, 97.00, 96.00, 95.00, 96.00, 96.00, 96.00, -14.00,SS-J
 61.00, 98.00, 102.00, 90.00, 96.00, 89.00, 61.00, 98.00, 102.00, 90.00, 96.00, 89.00, 61.00, 98.00, 102.00, 91.00, 96.00, 82.00, -16.00,SS-K
 98.00, 99.00, 98.00, 98.00, 98.00, 98.00, 100.00, 100.00, 99.00, 98.00, 99.00, 98.00, 99.00, 100.00, 99.00, 98.00, 99.00, 99.00, -7.00,SS-L
 99.00, 100.00, 100.00, 99.00, 100.00, 100.00, 99.00, 99.00, 99.00, 99.00, 100.00, 99.00, 99.00, 100.00, 100.00, 99.00, 100.00, 100.00, 65.00,SS-M
 47.00, 86.00, 87.00, 91.00, 92.00, 86.00, 65.00, 99.00, 97.00, 99.00, 99.00, 88.00, 97.00, 64.00, 79.00, 87.00, 63.00, 88.00, 23.00,SS-O
 98.00, 99.00, 98.00, 98.00, 98.00, 98.00, 100.00, 100.00, 99.00, 98.00, 99.00, 99.00, 100.00, 100.00, 99.00, 98.00, 99.00, 99.00, -7.00,SS-P
 93.00, 92.00, 92.00, 94.00, 90.00, 96.00, 63.00, 98.00, 80.00, 95.00, 97.00, 97.00, 63.00, 98.00, 79.00, 97.00, 98.00, 98.00, -2.00,SS-Q
 84.00, 83.00, 60.00, 82.00, 87.00, 81.00, 83.00, 82.00, 83.00, 80.00, 81.00, 82.00, 83.00, 89.00, 83.00, 81.00, 94.00, 82.00, -26.00,SS-R
 100.00, 99.00, 99.00, 91.00, 100.00, 91.00, 96.00, 100.00, 94.00, 96.00, 100.00, 93.00, 100.00, 99.00, 99.00, 76.00, 100.00, 92.00, 53.00,SS-S
 85.00, 85.00, 84.00, 86.00, 85.00, 86.00, 87.00, 100.00, 85.00, 87.00, 100.00, 98.00, 85.00, 100.00, 94.00, 87.00, 100.00, 99.00, 31.00,SS-T
 97.00, 96.00, 96.00, 96.00, 96.00, 96.00, 97.00, 96.00, 96.00, 96.00, 95.00, 97.00, 97.00, 99.00, 96.00, 96.00, 99.00, 98.00, -19.00,SS-U
 94.00, 94.00, 95.00, 95.00, 94.00, 94.00, 97.00, 99.00, 97.00, 97.00, 96.00, 96.00, 97.00, 99.00, 97.00, 96.00, 96.00, 98.00, 25.00,SS-V
 95.00, 99.00, 99.00, 97.00, 99.00, 99.00, 95.00, 99.00, 99.00, 94.00, 99.00, 99.00, 95.00, 99.00, 99.00, 97.00, 99.00, 99.00,  6.00,wc+rs-3d-c4-obj1
 95.00, 100.00, 99.00, 99.00, 99.00, 100.00, 95.00, 100.00, 99.00, 99.00, 99.00, 100.00, 95.00, 100.00, 99.00, 99.00, 99.00, 100.00,  3.00,wc+sol-3d-c4-obj1
 95.00, 99.00, 99.00, 98.00, 99.00, 99.00, 95.00, 99.00, 99.00, 98.00, 99.00, 99.00, 95.00, 99.00, 99.00, 98.00, 99.00, 99.00, -12.00,wc+wc-3d-c4-obj1
 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 50.00,wc-6d-c1-obj1
 52.00, 95.00, 95.00, 57.00, 77.00, 47.00, 55.00, 95.00, 77.00, 67.00, 77.00, 49.00, 52.00, 95.00, 95.00, 54.00, 77.00, 51.00, -9.00,Wine_quality
 100.00, 100.00, 100.00, 99.00, 100.00, 99.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 39.00,X264_AllMeasurements
 90.00, 96.00, 93.00, 91.00, 98.00, 86.00, 93.00, 96.00, 93.00, 93.00, 98.00, 87.00, 93.00, 96.00, 93.00, 89.00, 97.00, 87.00,  6.00,xomo_flight
 96.00, 94.00, 90.00, 86.00, 94.00, 86.00, 96.00, 94.00, 87.00, 87.00, 94.00, 81.00, 96.00, 92.00, 89.00, 85.00, 92.00, 84.00,  6.00,xomo_ground
 90.00, 95.00, 90.00, 90.00, 95.00, 87.00, 90.00, 98.00, 95.00, 93.00, 95.00, 93.00, 92.00, 98.00, 94.00, 90.00, 95.00, 85.00,  2.00,xomo_osp
 88.00, 86.00, 83.00, 72.00, 87.00, 72.00, 91.00, 86.00, 84.00, 81.00, 88.00, 77.00, 89.00, 87.00, 82.00, 77.00, 88.00, 73.00, -16.00,xomo_osp2
